name,size,price,comments
MMG2015 Official Shirt Short Sleeve,XS,15,If two or more, it's 12.5 per piece
MMG2015 Official Shirt Short Sleeve,S,15,If two or more, it's 12.5 per piece
MMG2015 Official Shirt Short Sleeve,M,15,If two or more, it's 12.5 per piece
MMG2015 Official Shirt Short Sleeve,L,15,If two or more, it's 12.5 per piece
MMG2015 Official Shirt Short Sleeve,XL,15,If two or more, it's 12.5 per piece
MMG2015 Official Shirt Short Sleeve,XXL,15,If two or more, it's 12.5 per piece
MMG2015 Official Shirt Short Sleeve,XXXL,15,If two or more, it's 12.5 per piece
MMG2015 Official Shirt Long Sleeve,XS,20,If two or more, it's 17.5 per piece
MMG2015 Official Shirt Long Sleeve,S,20,If two or more, it's 17.5 per piece
MMG2015 Official Shirt Long Sleeve,M,20,If two or more, it's 17.5 per piece
MMG2015 Official Shirt Long Sleeve,L,20,If two or more, it's 17.5 per piece
MMG2015 Official Shirt Long Sleeve,XL,20,If two or more, it's 17.5 per piece
MMG2015 Official Shirt Long Sleeve,XXL,20,If two or more, it's 17.5 per piece
MMG2015 Official Shirt Long Sleeve,XXXL,20,If two or more, it's 17.5 per piece
